Date,Public Health Unit,Cases by episode date,7 day rolling average: Cases by episode date,Cases rate by episode date,Cases by reported date,7 day rolling average: Cases by reported date,Cases rate by reported date,Hospitalizations,Hospitalizations rate,Deaths,Deaths rate
"February 22, 2020",Ontario,5,2,0,0,0,0,0,0,0,0
"February 23, 2020",Ontario,5,2,0,0,0,0,0,0,0,0
"February 24, 2020",Ontario,4,3,0,0,0,0,1,0,0,0
"February 25, 2020",Ontario,3,3,0,1,0,0,0,0,0,0
"February 26, 2020",Ontario,2,4,0,1,0,0,2,0,0,0
"February 27, 2020",Ontario,2,4,0,2,0,0,1,0,0,0
"February 28, 2020",Ontario,5,4,0,5,1,0,2,0,0,0
"February 29, 2020",Ontario,4,4,0,4,1,0,1,0,0,0
"March 1, 2020",Ontario,23,4,0.2,2,2,0,4,0,0,0
"March 2, 2020",Ontario,16,7,0.1,0,2,0,4,0,0,0
"March 3, 2020",Ontario,13,9,0.1,2,2,0,4,0,0,0
"March 4, 2020",Ontario,14,11,0.1,1,3,0,4,0,0,0
"March 5, 2020",Ontario,27,13,0.2,4,3,0,3,0,0,0
"March 6, 2020",Ontario,34,17,0.2,3,3,0,4,0,0,0
"March 7, 2020",Ontario,32,21,0.2,3,3,0,1,0,0,0
"March 8, 2020",Ontario,54,26,0.4,5,2,0,1,0,0,0
"March 9, 2020",Ontario,68,31,0.5,6,3,0,4,0,0,0
"March 10, 2020",Ontario,103,40,0.7,9,4,0.1,6,0,0,0
"March 11, 2020",Ontario,104,54,0.7,23,5,0.2,7,0,1,0
"March 12, 2020",Ontario,131,69,0.9,37,9,0.3,5,0,0,0
"March 13, 2020",Ontario,155,86,1.1,36,14,0.2,4,0,0,0
"March 14, 2020",Ontario,147,106,1,32,19,0.2,5,0,0,0
"March 15, 2020",Ontario,194,124,1.3,36,24,0.2,13,0.1,0,0
"March 16, 2020",Ontario,268,147,1.8,53,29,0.4,14,0.1,0,0
"March 17, 2020",Ontario,274,180,1.9,59,37,0.4,15,0.1,0,0
"March 18, 2020",Ontario,274,208,1.9,59,45,0.4,14,0.1,0,0
"March 19, 2020",Ontario,263,236,1.8,69,51,0.5,21,0.1,0,0
"March 20, 2020",Ontario,354,257,2.4,99,56,0.7,30,0.2,0,0
"March 21, 2020",Ontario,278,290,1.9,72,66,0.5,27,0.2,1,0
"March 22, 2020",Ontario,275,311,1.9,87,73,0.6,28,0.2,2,0
"March 23, 2020",Ontario,340,324,2.3,145,81,1,36,0.2,2,0
"March 24, 2020",Ontario,278,336,1.9,174,96,1.2,54,0.4,5,0
"March 25, 2020",Ontario,306,337,2.1,138,115,0.9,61,0.4,4,0
"March 26, 2020",Ontario,293,342,2,250,128,1.7,65,0.4,3,0
"March 27, 2020",Ontario,330,347,2.2,297,158,2,66,0.4,4,0
"March 28, 2020",Ontario,317,343,2.2,236,190,1.6,68,0.5,8,0.1
"March 29, 2020",Ontario,292,349,2,227,217,1.5,74,0.5,14,0.1
"March 30, 2020",Ontario,388,352,2.6,438,240,3,90,0.6,18,0.1
"March 31, 2020",Ontario,329,360,2.2,410,287,2.8,92,0.6,15,0.1
"April 1, 2020",Ontario,477,368,3.2,454,326,3.1,75,0.5,15,0.1
"April 2, 2020",Ontario,369,396,2.5,450,377,3.1,82,0.6,28,0.2
"April 3, 2020",Ontario,444,408,3,465,410,3.2,91,0.6,22,0.1
"April 4, 2020",Ontario,404,427,2.7,349,438,2.4,76,0.5,29,0.2
"April 5, 2020",Ontario,367,441,2.5,371,456,2.5,65,0.4,28,0.2
"April 6, 2020",Ontario,451,454,3.1,479,480,3.3,82,0.6,30,0.2
"April 7, 2020",Ontario,429,464,2.9,458,486,3.1,78,0.5,35,0.2
"April 8, 2020",Ontario,432,480,2.9,493,494,3.3,93,0.6,38,0.3
"April 9, 2020",Ontario,463,473,3.1,489,500,3.3,78,0.5,42,0.3
"April 10, 2020",Ontario,551,488,3.7,399,507,2.7,74,0.5,36,0.2
"April 11, 2020",Ontario,532,506,3.6,476,496,3.2,61,0.4,44,0.3
"April 12, 2020",Ontario,467,527,3.2,549,517,3.7,66,0.4,47,0.3
"April 13, 2020",Ontario,613,543,4.2,600,546,4.1,53,0.4,51,0.3
"April 14, 2020",Ontario,593,569,4,558,566,3.8,58,0.4,44,0.3
"April 15, 2020",Ontario,641,596,4.4,619,582,4.2,51,0.3,59,0.4
"April 16, 2020",Ontario,618,630,4.2,579,602,3.9,81,0.5,56,0.4
"April 17, 2020",Ontario,663,656,4.5,752,617,5.1,84,0.6,54,0.4
"April 18, 2020",Ontario,545,674,3.7,600,675,4.1,67,0.5,56,0.4
"April 19, 2020",Ontario,360,676,2.4,594,695,4,63,0.4,85,0.6
"April 20, 2020",Ontario,542,658,3.7,614,702,4.2,86,0.6,56,0.4
"April 21, 2020",Ontario,435,647,3,522,705,3.5,74,0.5,65,0.4
"April 22, 2020",Ontario,458,621,3.1,548,699,3.7,86,0.6,67,0.5
"April 23, 2020",Ontario,445,591,3,511,687,3.5,75,0.5,59,0.4
"April 24, 2020",Ontario,427,563,2.9,432,676,2.9,74,0.5,62,0.4
"April 25, 2020",Ontario,448,524,3,427,624,2.9,56,0.4,68,0.5
"April 26, 2020",Ontario,371,509,2.5,367,596,2.5,59,0.4,63,0.4
"April 27, 2020",Ontario,477,510,3.2,479,559,3.3,78,0.5,67,0.5
"April 28, 2020",Ontario,411,500,2.8,417,536,2.8,74,0.5,48,0.3
"April 29, 2020",Ontario,396,496,2.7,406,519,2.8,65,0.4,67,0.5
"April 30, 2020",Ontario,410,486,2.8,409,496,2.8,58,0.4,62,0.4
"May 1, 2020",Ontario,438,480,3,488,480,3.3,76,0.5,63,0.4
"May 2, 2020",Ontario,325,482,2.2,333,489,2.3,47,0.3,50,0.3
"May 3, 2020",Ontario,271,462,1.8,341,473,2.3,38,0.3,74,0.5
"May 4, 2020",Ontario,329,445,2.2,333,469,2.3,62,0.4,46,0.3
"May 5, 2020",Ontario,336,421,2.3,409,445,2.8,45,0.3,40,0.3
"May 6, 2020",Ontario,274,409,1.9,356,444,2.4,37,0.3,43,0.3
"May 7, 2020",Ontario,317,389,2.2,306,436,2.1,48,0.3,43,0.3
"May 8, 2020",Ontario,349,374,2.4,298,419,2,54,0.4,38,0.3
"May 9, 2020",Ontario,316,359,2.1,310,388,2.1,46,0.3,39,0.3
"May 10, 2020",Ontario,288,358,2,294,384,2,30,0.2,41,0.3
"May 11, 2020",Ontario,391,361,2.7,216,376,1.5,45,0.3,38,0.3
"May 12, 2020",Ontario,352,371,2.4,258,357,1.8,31,0.2,34,0.2
"May 13, 2020",Ontario,310,373,2.1,362,333,2.5,36,0.2,27,0.2
"May 14, 2020",Ontario,355,379,2.4,342,334,2.3,23,0.2,27,0.2
"May 15, 2020",Ontario,467,385,3.2,381,340,2.6,60,0.4,31,0.2
"May 16, 2020",Ontario,330,405,2.2,370,353,2.5,49,0.3,31,0.2
"May 17, 2020",Ontario,305,407,2.1,421,363,2.9,34,0.2,25,0.2
"May 18, 2020",Ontario,352,410,2.4,376,384,2.6,24,0.2,26,0.2
"May 19, 2020",Ontario,396,403,2.7,327,410,2.2,36,0.2,27,0.2
"May 20, 2020",Ontario,407,411,2.8,388,421,2.6,32,0.2,19,0.1
"May 21, 2020",Ontario,347,426,2.4,338,425,2.3,28,0.2,26,0.2
"May 22, 2020",Ontario,284,425,1.9,400,425,2.7,35,0.2,20,0.1
"May 23, 2020",Ontario,286,395,1.9,367,428,2.5,24,0.2,25,0.2
"May 24, 2020",Ontario,277,388,1.9,340,427,2.3,36,0.2,24,0.2
"May 25, 2020",Ontario,372,384,2.5,399,414,2.7,32,0.2,29,0.2
"May 26, 2020",Ontario,311,387,2.1,273,418,1.9,30,0.2,39,0.3
"May 27, 2020",Ontario,291,373,2,322,409,2.2,34,0.2,27,0.2
"May 28, 2020",Ontario,240,354,1.6,325,398,2.2,29,0.2,19,0.1
"May 29, 2020",Ontario,333,336,2.3,606,396,4.1,28,0.2,25,0.2
"May 30, 2020",Ontario,285,344,1.9,346,430,2.3,41,0.3,19,0.1
"May 31, 2020",Ontario,199,344,1.4,412,426,2.8,26,0.2,10,0.1
"June 1, 2020",Ontario,363,332,2.5,396,438,2.7,26,0.2,12,0.1
"June 2, 2020",Ontario,228,330,1.5,366,438,2.5,31,0.2,10,0.1
"June 3, 2020",Ontario,235,317,1.6,348,453,2.4,26,0.2,16,0.1
"June 4, 2020",Ontario,233,307,1.6,279,457,1.9,16,0.1,18,0.1
"June 5, 2020",Ontario,227,306,1.5,278,449,1.9,22,0.1,17,0.1
"June 6, 2020",Ontario,192,289,1.3,222,396,1.5,11,0.1,9,0.1
"June 7, 2020",Ontario,161,274,1.1,207,376,1.4,18,0.1,9,0.1
"June 8, 2020",Ontario,225,268,1.5,214,342,1.5,18,0.1,7,0
"June 9, 2020",Ontario,172,245,1.2,216,312,1.5,23,0.2,15,0.1
"June 10, 2020",Ontario,205,236,1.4,237,288,1.6,19,0.1,5,0
"June 11, 2020",Ontario,181,231,1.2,187,270,1.3,13,0.1,6,0
"June 12, 2020",Ontario,176,223,1.2,240,255,1.6,15,0.1,5,0
"June 13, 2020",Ontario,129,214,0.9,171,249,1.2,16,0.1,11,0.1
"June 14, 2020",Ontario,150,204,1,143,240,1,13,0.1,8,0.1
"June 15, 2020",Ontario,212,202,1.4,177,230,1.2,13,0.1,7,0
"June 16, 2020",Ontario,190,200,1.3,174,224,1.2,7,0,4,0
"June 17, 2020",Ontario,180,203,1.2,190,217,1.3,7,0,4,0
"June 18, 2020",Ontario,163,199,1.1,198,209,1.3,9,0.1,5,0
"June 19, 2020",Ontario,164,196,1.1,189,211,1.3,10,0.1,5,0
"June 20, 2020",Ontario,152,194,1,154,203,1,10,0.1,6,0
"June 21, 2020",Ontario,132,198,0.9,174,200,1.2,8,0.1,4,0
"June 22, 2020",Ontario,179,195,1.2,202,205,1.4,10,0.1,7,0
"June 23, 2020",Ontario,171,189,1.2,152,209,1,8,0.1,9,0.1
"June 24, 2020",Ontario,149,186,1,164,206,1.1,10,0.1,6,0
"June 25, 2020",Ontario,273,181,1.9,146,201,1,10,0.1,3,0
"June 26, 2020",Ontario,112,199,0.8,182,193,1.2,2,0,4,0
"June 27, 2020",Ontario,116,191,0.8,230,192,1.6,7,0,3,0
"June 28, 2020",Ontario,118,185,0.8,205,204,1.4,8,0.1,4,0
"June 29, 2020",Ontario,152,183,1,131,209,0.9,8,0.1,5,0
"June 30, 2020",Ontario,134,178,0.9,176,198,1.2,7,0,1,0
"July 1, 2020",Ontario,103,172,0.7,150,201,1,11,0.1,2,0
"July 2, 2020",Ontario,118,165,0.8,142,199,1,6,0,2,0
"July 3, 2020",Ontario,118,139,0.8,152,199,1,3,0,3,0
"July 4, 2020",Ontario,106,140,0.7,129,194,0.9,4,0,1,0
"July 5, 2020",Ontario,79,139,0.5,92,177,0.6,4,0,1,0
"July 6, 2020",Ontario,212,132,1.4,105,159,0.7,4,0,7,0
"July 7, 2020",Ontario,160,142,1.1,139,154,0.9,8,0.1,4,0
"July 8, 2020",Ontario,144,146,1,142,148,1,7,0,3,0
"July 9, 2020",Ontario,118,153,0.8,136,147,0.9,6,0,2,0
"July 10, 2020",Ontario,136,153,0.9,124,146,0.8,10,0.1,5,0
"July 11, 2020",Ontario,116,156,0.8,128,142,0.9,7,0,3,0
"July 12, 2020",Ontario,104,158,0.7,113,141,0.8,8,0.1,0,0
"July 13, 2020",Ontario,185,162,1.3,98,145,0.7,4,0,4,0
"July 14, 2020",Ontario,166,157,1.1,105,144,0.7,8,0.1,2,0
"July 15, 2020",Ontario,174,158,1.2,133,138,0.9,5,0,4,0
"July 16, 2020",Ontario,134,163,0.9,142,137,1,7,0,3,0
"July 17, 2020",Ontario,133,166,0.9,165,138,1.1,5,0,3,0
"July 18, 2020",Ontario,116,165,0.8,175,144,1.2,10,0.1,3,0
"July 19, 2020",Ontario,101,165,0.7,122,152,0.8,5,0,1,0
"July 20, 2020",Ontario,146,165,1,179,153,1.2,12,0.1,1,0
"July 21, 2020",Ontario,146,158,1,118,167,0.8,1,0,1,0
"July 22, 2020",Ontario,133,155,0.9,123,169,0.8,6,0,2,0
"July 23, 2020",Ontario,110,148,0.7,195,167,1.3,4,0,1,0
"July 24, 2020",Ontario,114,144,0.8,139,176,0.9,8,0.1,2,0
"July 25, 2020",Ontario,98,141,0.7,118,172,0.8,4,0,2,0
"July 26, 2020",Ontario,89,138,0.6,125,162,0.8,10,0.1,3,0
"July 27, 2020",Ontario,138,136,0.9,122,163,0.8,6,0,1,0
"July 28, 2020",Ontario,100,135,0.7,122,153,0.8,5,0,2,0
"July 29, 2020",Ontario,104,128,0.7,100,154,0.7,6,0,1,0
"July 30, 2020",Ontario,95,123,0.6,109,150,0.7,9,0.1,2,0
"July 31, 2020",Ontario,82,120,0.6,127,136,0.9,10,0.1,1,0
"August 1, 2020",Ontario,79,115,0.5,103,134,0.7,3,0,3,0
"August 2, 2020",Ontario,66,112,0.4,57,132,0.4,4,0,1,0
"August 3, 2020",Ontario,88,108,0.6,97,121,0.7,6,0,0,0
"August 4, 2020",Ontario,85,100,0.6,87,117,0.6,7,0,0,0
"August 5, 2020",Ontario,90,98,0.6,81,111,0.5,2,0,1,0
"August 6, 2020",Ontario,74,96,0.5,97,108,0.7,6,0,2,0
"August 7, 2020",Ontario,108,92,0.7,80,106,0.5,3,0,1,0
"August 8, 2020",Ontario,77,96,0.5,92,98,0.6,4,0,0,0
"August 9, 2020",Ontario,67,96,0.5,90,96,0.6,5,0,0,0
"August 10, 2020",Ontario,129,96,0.9,69,102,0.5,3,0,1,0
"August 11, 2020",Ontario,98,103,0.7,88,97,0.6,2,0,1,0
"August 12, 2020",Ontario,92,105,0.6,96,97,0.7,1,0,0,0
"August 13, 2020",Ontario,113,105,0.8,90,100,0.6,3,0,1,0
"August 14, 2020",Ontario,94,112,0.6,91,99,0.6,2,0,0,0
"August 15, 2020",Ontario,82,109,0.6,86,101,0.6,4,0,0,0
"August 16, 2020",Ontario,76,110,0.5,100,100,0.7,3,0,1,0
"August 17, 2020",Ontario,150,112,1,99,101,0.7,4,0,1,0
"August 18, 2020",Ontario,106,115,0.7,104,106,0.7,7,0,2,0
"August 19, 2020",Ontario,109,116,0.7,103,109,0.7,7,0,1,0
"August 20, 2020",Ontario,110,119,0.7,107,110,0.7,7,0,2,0
"August 21, 2020",Ontario,118,119,0.8,133,113,0.9,3,0,0,0
"August 22, 2020",Ontario,109,123,0.7,82,120,0.6,8,0.1,0,0
"August 23, 2020",Ontario,118,127,0.8,101,119,0.7,3,0,1,0
"August 24, 2020",Ontario,146,134,1,117,119,0.8,9,0.1,1,0
"August 25, 2020",Ontario,144,133,1,120,122,0.8,12,0.1,0,0
"August 26, 2020",Ontario,140,139,1,131,125,0.9,4,0,0,0
"August 27, 2020",Ontario,107,144,0.7,150,129,1,7,0,1,0
"August 28, 2020",Ontario,129,144,0.9,120,136,0.8,7,0,0,0
"August 29, 2020",Ontario,123,146,0.8,109,134,0.7,6,0,0,0
"August 30, 2020",Ontario,144,148,1,122,138,0.8,3,0,1,0
"August 31, 2020",Ontario,166,152,1.1,134,142,0.9,4,0,0,0
"September 1, 2020",Ontario,200,156,1.4,123,145,0.8,5,0,2,0
"September 2, 2020",Ontario,197,165,1.3,126,145,0.9,7,0,0,0
"September 3, 2020",Ontario,179,174,1.2,169,144,1.1,6,0,1,0
"September 4, 2020",Ontario,204,186,1.4,155,147,1.1,10,0.1,0,0
"September 5, 2020",Ontario,192,198,1.3,147,153,1,6,0,1,0
"September 6, 2020",Ontario,187,209,1.3,193,159,1.3,4,0,0,0
"September 7, 2020",Ontario,255,216,1.7,174,171,1.2,5,0,2,0
"September 8, 2020",Ontario,280,231,1.9,181,177,1.2,7,0,0,0
"September 9, 2020",Ontario,293,244,2,194,187,1.3,8,0.1,0,0
"September 10, 2020",Ontario,336,260,2.3,205,198,1.4,8,0.1,1,0
"September 11, 2020",Ontario,304,285,2.1,265,204,1.8,8,0.1,1,0
"September 12, 2020",Ontario,323,302,2.2,296,222,2,6,0,2,0
"September 13, 2020",Ontario,331,323,2.2,215,246,1.5,3,0,2,0
"September 14, 2020",Ontario,468,346,3.2,278,250,1.9,6,0,2,0
"September 15, 2020",Ontario,519,381,3.5,318,267,2.2,11,0.1,1,0
"September 16, 2020",Ontario,483,420,3.3,335,289,2.3,12,0.1,1,0
"September 17, 2020",Ontario,433,451,2.9,429,312,2.9,20,0.1,7,0
"September 18, 2020",Ontario,486,467,3.3,397,349,2.7,8,0.1,1,0
"September 19, 2020",Ontario,444,497,3,399,370,2.7,10,0.1,2,0
"September 20, 2020",Ontario,465,517,3.2,401,387,2.7,20,0.1,1,0
"September 21, 2020",Ontario,692,538,4.7,387,417,2.6,21,0.1,0,0
"September 22, 2020",Ontario,644,575,4.4,373,435,2.5,13,0.1,2,0
"September 23, 2020",Ontario,667,595,4.5,396,444,2.7,17,0.1,1,0
"September 24, 2020",Ontario,669,625,4.5,426,454,2.9,21,0.1,3,0
"September 25, 2020",Ontario,700,664,4.8,515,454,3.5,23,0.2,3,0
"September 26, 2020",Ontario,629,699,4.3,624,473,4.2,14,0.1,4,0
"September 27, 2020",Ontario,644,729,4.4,560,510,3.8,15,0.1,2,0
"September 28, 2020",Ontario,809,758,5.5,532,536,3.6,22,0.1,2,0
"September 29, 2020",Ontario,751,777,5.1,608,559,4.1,35,0.2,7,0
"September 30, 2020",Ontario,722,795,4.9,681,598,4.6,17,0.1,1,0
"October 1, 2020",Ontario,625,804,4.2,624,644,4.2,29,0.2,6,0
"October 2, 2020",Ontario,616,797,4.2,674,677,4.6,18,0.1,2,0
"October 3, 2020",Ontario,568,783,3.9,545,703,3.7,20,0.1,7,0
"October 4, 2020",Ontario,550,773,3.7,587,690,4,21,0.1,5,0
"October 5, 2020",Ontario,762,758,5.2,577,694,3.9,28,0.2,1,0
"October 6, 2020",Ontario,701,750,4.8,759,701,5.2,25,0.2,4,0
"October 7, 2020",Ontario,714,742,4.8,880,726,6,30,0.2,4,0
"October 8, 2020",Ontario,673,741,4.6,743,759,5,37,0.3,6,0
"October 9, 2020",Ontario,713,748,4.8,804,778,5.5,24,0.2,7,0
"October 10, 2020",Ontario,714,764,4.8,688,799,4.7,31,0.2,8,0.1
"October 11, 2020",Ontario,616,788,4.2,797,823,5.4,28,0.2,1,0
"October 12, 2020",Ontario,715,799,4.9,591,857,4,29,0.2,4,0
"October 13, 2020",Ontario,792,791,5.4,833,859,5.7,20,0.1,7,0
"October 14, 2020",Ontario,780,806,5.3,879,871,6,32,0.2,7,0
"October 15, 2020",Ontario,717,817,4.9,764,871,5.2,30,0.2,7,0
"October 16, 2020",Ontario,778,824,5.3,708,874,4.8,30,0.2,7,0
"October 17, 2020",Ontario,696,835,4.7,705,859,4.8,37,0.3,6,0
"October 18, 2020",Ontario,727,832,4.9,800,862,5.4,26,0.2,9,0.1
"October 19, 2020",Ontario,992,850,6.7,755,862,5.1,33,0.2,8,0.1
"October 20, 2020",Ontario,944,895,6.4,759,889,5.2,31,0.2,5,0
"October 21, 2020",Ontario,895,920,6.1,842,877,5.7,31,0.2,9,0.1
"October 22, 2020",Ontario,942,939,6.4,994,871,6.7,35,0.2,7,0
"October 23, 2020",Ontario,867,975,5.9,955,908,6.5,32,0.2,7,0
"October 24, 2020",Ontario,797,990,5.4,936,949,6.4,30,0.2,13,0.1
"October 25, 2020",Ontario,791,1006,5.4,880,986,6,38,0.3,4,0
"October 26, 2020",Ontario,959,1017,6.5,779,999,5.3,34,0.2,8,0.1
"October 27, 2020",Ontario,946,1011,6.4,875,1003,5.9,30,0.2,6,0
"October 28, 2020",Ontario,1041,1012,7.1,924,1022,6.3,28,0.2,17,0.1
"October 29, 2020",Ontario,840,1036,5.7,891,1036,6,50,0.3,12,0.1
"October 30, 2020",Ontario,928,1019,6.3,1090,1019,7.4,42,0.3,12,0.1
"October 31, 2020",Ontario,943,1029,6.4,948,1041,6.4,30,0.2,8,0.1
"November 1, 2020",Ontario,1021,1053,6.9,1102,1043,7.5,40,0.3,11,0.1
"November 2, 2020",Ontario,1435,1090,9.7,968,1079,6.6,39,0.3,17,0.1
"November 3, 2020",Ontario,1438,1168,9.8,876,1110,5.9,43,0.3,16,0.1
"November 4, 2020",Ontario,1440,1248,9.8,940,1110,6.4,40,0.3,15,0.1
"November 5, 2020",Ontario,1473,1313,10,1260,1113,8.6,52,0.4,7,0
"November 6, 2020",Ontario,1590,1417,10.8,1299,1173,8.8,41,0.3,16,0.1
"November 7, 2020",Ontario,1344,1525,9.1,1156,1207,7.8,36,0.2,22,0.1
"November 8, 2020",Ontario,1276,1590,8.7,1325,1241,9,51,0.3,15,0.1
"November 9, 2020",Ontario,1666,1632,11.3,1427,1277,9.7,58,0.4,19,0.1
"November 10, 2020",Ontario,1488,1670,10.1,1575,1352,10.7,55,0.4,26,0.2
"November 11, 2020",Ontario,1543,1678,10.5,1533,1466,10.4,57,0.4,21,0.1
"November 12, 2020",Ontario,1397,1695,9.5,1600,1563,10.9,57,0.4,14,0.1
"November 13, 2020",Ontario,1481,1682,10.1,1488,1619,10.1,61,0.4,25,0.2
"November 14, 2020",Ontario,1342,1664,9.1,1495,1650,10.1,66,0.4,20,0.1
"November 15, 2020",Ontario,1323,1664,9,1304,1705,8.9,54,0.4,14,0.1
"November 16, 2020",Ontario,1592,1672,10.8,1343,1702,9.1,54,0.4,21,0.1
"November 17, 2020",Ontario,1602,1660,10.9,1258,1688,8.5,56,0.4,15,0.1
"November 18, 2020",Ontario,1639,1678,11.1,1490,1636,10.1,55,0.4,13,0.1
"November 19, 2020",Ontario,1546,1694,10.5,1503,1629,10.2,61,0.4,19,0.1
"November 20, 2020",Ontario,1604,1718,10.9,1637,1613,11.1,59,0.4,19,0.1
"November 21, 2020",Ontario,1441,1738,9.8,1501,1638,10.2,58,0.4,18,0.1
"November 22, 2020",Ontario,1409,1755,9.6,1320,1639,9,66,0.4,19,0.1
"November 23, 2020",Ontario,1920,1769,13,1369,1641,9.3,66,0.4,23,0.2
"November 24, 2020",Ontario,1832,1822,12.4,1410,1645,9.6,63,0.4,16,0.1
"November 25, 2020",Ontario,1977,1860,13.4,1696,1670,11.5,89,0.6,24,0.2
"November 26, 2020",Ontario,1793,1915,12.2,1858,1704,12.6,66,0.4,18,0.1
"November 27, 2020",Ontario,1805,1955,12.3,1761,1762,12,54,0.4,19,0.1
"November 28, 2020",Ontario,1798,1988,12.2,1722,1782,11.7,57,0.4,20,0.1
"November 29, 2020",Ontario,1634,2046,11.1,1677,1818,11.4,52,0.4,18,0.1
"November 30, 2020",Ontario,2099,2083,14.2,1631,1876,11.1,71,0.5,21,0.1
"December 1, 2020",Ontario,2021,2112,13.7,1815,1919,12.3,79,0.5,27,0.2
"December 2, 2020",Ontario,1973,2143,13.4,1757,1985,11.9,81,0.5,26,0.2
"December 3, 2020",Ontario,1995,2143,13.5,1824,1995,12.4,76,0.5,17,0.1
"December 4, 2020",Ontario,1948,2176,13.2,1891,1990,12.8,79,0.5,21,0.1
"December 5, 2020",Ontario,1723,2199,11.7,2089,2011,14.2,78,0.5,22,0.1
"December 6, 2020",Ontario,1781,2187,12.1,1732,2071,11.8,54,0.4,26,0.2
"December 7, 2020",Ontario,2273,2211,15.4,1779,2080,12.1,76,0.5,19,0.1
"December 8, 2020",Ontario,2187,2239,14.8,1865,2104,12.7,86,0.6,35,0.2
"December 9, 2020",Ontario,2217,2266,15,1907,2112,12.9,81,0.5,33,0.2
"December 10, 2020",Ontario,2115,2306,14.4,1892,2137,12.8,102,0.7,21,0.1
"December 11, 2020",Ontario,2206,2326,15,1914,2148,13,79,0.5,23,0.2
"December 12, 2020",Ontario,2039,2368,13.8,1974,2152,13.4,93,0.6,41,0.3
"December 13, 2020",Ontario,1963,2419,13.3,1981,2133,13.4,84,0.6,28,0.2
"December 14, 2020",Ontario,2578,2449,17.5,2057,2173,14,87,0.6,32,0.2
"December 15, 2020",Ontario,2350,2499,15.9,2248,2219,15.3,98,0.7,38,0.3
"December 16, 2020",Ontario,2495,2525,16.9,2312,2281,15.7,78,0.5,26,0.2
"December 17, 2020",Ontario,2219,2571,15.1,2374,2347,16.1,91,0.6,34,0.2
"December 18, 2020",Ontario,2314,2588,15.7,2415,2426,16.4,95,0.6,43,0.3
"December 19, 2020",Ontario,2113,2605,14.3,2275,2508,15.4,98,0.7,37,0.3
"December 20, 2020",Ontario,2132,2617,14.5,2338,2557,15.9,96,0.7,35,0.2
"December 21, 2020",Ontario,2735,2645,18.6,2161,2615,14.7,115,0.8,38,0.3
"December 22, 2020",Ontario,2558,2671,17.4,2552,2632,17.3,84,0.6,47,0.3
"December 23, 2020",Ontario,2752,2705,18.7,2216,2682,15,102,0.7,40,0.3
"December 24, 2020",Ontario,2737,2747,18.6,1922,2666,13,111,0.8,47,0.3
"December 25, 2020",Ontario,2396,2831,16.3,2183,2592,14.8,113,0.8,33,0.2
